ImageID,NAME_2,mean,start_dt
NA,NA,NA,2019-01-24T12:00:00Z
NA,NA,NA,2019-01-25T12:00:00Z
NA,NA,NA,2019-01-26T12:00:00Z
NA,NA,NA,2019-01-27T12:00:00Z
20190128T114131_20190203T135225,Greater London,1.3545043711398649e-4,2019-01-28T11:41:31Z
NA,NA,NA,2019-01-29T12:00:00Z
20190130T110337_20190205T131852,Greater London,1.6239419741518425e-4,2019-01-30T11:54:22Z
20190131T104440_20190206T130804,Greater London,1.5688413658101636e-4,2019-01-31T10:44:40Z
NA,NA,NA,2019-02-01T12:00:00Z
20190202T114816_20190208T134844,Greater London,7.945820656517951e-5,2019-02-02T11:48:16Z
20190203T112919_20190209T133607,Greater London,1.3307910067109348e-4,2019-02-03T11:29:19Z
NA,NA,NA,2019-02-04T12:00:00Z
NA,NA,NA,2019-02-05T12:00:00Z
NA,NA,NA,2019-02-06T12:00:00Z
20190207T101333_20190213T121951,Greater London,5.533839611844892e-5,2019-02-07T11:04:18Z
NA,NA,NA,2019-02-08T12:00:00Z
20190209T111710_20190215T131301,Greater London,5.378728575626188e-5,2019-02-09T11:17:10Z
NA,NA,NA,2019-02-10T12:00:00Z
20190211T103917_20190217T122626,Greater London,9.625693182834576e-5,2019-02-11T10:39:17Z
NA,NA,NA,2019-02-12T12:00:00Z
NA,NA,NA,2019-02-13T12:00:00Z
20190214T112359_20190221T100309,Greater London,2.2550736927764748e-4,2019-02-14T11:23:59Z
20190215T110503_20190221T125202,Greater London,1.8229615349266574e-4,2019-02-15T11:55:48Z
NA,NA,NA,2019-02-16T12:00:00Z
20190217T102711_20190223T121911,Greater London,6.571383104609452e-5,2019-02-17T11:17:56Z
NA,NA,NA,2019-02-18T12:00:00Z
20190219T113050_20190225T134620,Greater London,8.641912885260072e-5,2019-02-19T11:30:50Z
20190220T111154_20190226T132011,Greater London,6.585167705281704e-5,2019-02-20T12:02:39Z
20190221T105259_20190227T124310,Greater London,1.212645685917823e-4,2019-02-21T11:43:44Z
20190222T121534_20190228T135500,Greater London,2.445960178027842e-4,2019-02-22T12:15:34Z
20190223T101508_20190301T122313,Greater London,1.419139576507034e-4,2019-02-23T11:05:53Z
20190224T113742_20190302T134732,Greater London,1.897181017529627e-4,2019-02-24T11:37:42Z
20190225T111847_20190303T130117,Greater London,2.599142388256456e-4,2019-02-25T11:18:47Z
NA,NA,NA,2019-02-26T12:00:00Z
NA,NA,NA,2019-02-27T12:00:00Z
NA,NA,NA,2019-02-28T12:00:00Z
NA,NA,NA,2019-03-01T12:00:00Z
20190302T112541_20190308T132728,Greater London,7.269525948360222e-5,2019-03-02T11:25:41Z
NA,NA,NA,2019-03-03T12:00:00Z
20190304T104750_20190310T124048,Greater London,5.623071529010384e-5,2019-03-04T10:47:50Z
NA,NA,NA,2019-03-05T12:00:00Z
NA,NA,NA,2019-03-06T12:00:00Z
20190307T113235_20190313T133414,Greater London,4.041408174564829e-5,2019-03-07T11:32:35Z
NA,NA,NA,2019-03-08T12:00:00Z
20190309T105445_20190315T135905,Greater London,5.944372050057368e-5,2019-03-09T11:45:30Z
20190310T121720_20190316T141038,Greater London,1.4827359830618874e-5,2019-03-10T12:17:20Z
20190311T101655_20190317T121017,Greater London,5.9686229559115434e-5,2019-03-11T11:07:40Z
NA,NA,NA,2019-03-12T12:00:00Z
NA,NA,NA,2019-03-13T12:00:00Z
20190314T110140_20190320T125909,Greater London,6.067380717434977e-5,2019-03-14T11:52:25Z
NA,NA,NA,2019-03-15T12:00:00Z
NA,NA,NA,2019-03-16T12:00:00Z
20190317T114625_20190323T133508,Greater London,2.9471942584001844e-5,2019-03-17T11:46:25Z
20190318T112730_20190324T131303,Greater London,6.234935491797813e-5,2019-03-18T11:27:30Z
20190319T110835_20190325T125813,Greater London,1.585679352417302e-4,2019-03-19T11:08:35Z
NA,NA,NA,2019-03-20T12:00:00Z
NA,NA,NA,2019-03-21T12:00:00Z
NA,NA,NA,2019-03-22T12:00:00Z
NA,NA,NA,2019-03-23T12:00:00Z
20190324T111531_20190330T125634,Greater London,1.1213685014592107e-4,2019-03-24T12:06:16Z
20190325T105636_20190331T124047,Greater London,7.822507702708849e-5,2019-03-25T11:47:21Z
NA,NA,NA,2019-03-26T12:00:00Z
NA,NA,NA,2019-03-27T12:00:00Z
NA,NA,NA,2019-03-28T12:00:00Z
NA,NA,NA,2019-03-29T12:00:00Z
20190330T110331_20190405T130254,Greater London,2.1985120449007057e-4,2019-03-30T11:03:31Z
NA,NA,NA,2019-03-31T12:00:00Z
20190401T120711_20190407T140415,Greater London,1.0055101828799275e-4,2019-04-01T12:07:11Z
NA,NA,NA,2019-04-02T12:00:00Z
NA,NA,NA,2019-04-03T12:00:00Z
NA,NA,NA,2019-04-04T12:00:00Z
NA,NA,NA,2019-04-05T12:00:00Z
NA,NA,NA,2019-04-06T12:00:00Z
NA,NA,NA,2019-04-07T12:00:00Z
NA,NA,NA,2019-04-08T12:00:00Z
NA,NA,NA,2019-04-09T12:00:00Z
NA,NA,NA,2019-04-10T12:00:00Z
NA,NA,NA,2019-04-11T12:00:00Z
NA,NA,NA,2019-04-12T12:00:00Z
20190413T114306_20190419T132339,Greater London,9.366630491440615e-5,2019-04-13T11:43:06Z
20190414T112411_20190420T130819,Greater London,7.421813643304631e-5,2019-04-14T11:24:11Z
NA,NA,NA,2019-04-15T12:00:00Z
NA,NA,NA,2019-04-16T12:00:00Z
20190417T102723_20190423T122257,Greater London,2.6176561604520173e-4,2019-04-17T11:18:08Z
20190418T114957_20190424T133924,Greater London,1.9814281354034753e-4,2019-04-18T11:49:57Z
20190419T113101_20190425T131555,Greater London,1.6607179340961066e-4,2019-04-19T11:31:01Z
20190420T111205_20190426T130237,Greater London,1.2271759638969002e-4,2019-04-20T12:02:50Z
20190421T105309_20190427T124742,Greater London,1.361820920087208e-4,2019-04-21T11:43:54Z
20190422T103413_20190428T123822,Greater London,1.5181939845282816e-4,2019-04-22T11:24:58Z
20190423T115647_20190429T134515,Greater London,9.070462692761794e-5,2019-04-23T11:56:47Z
20190424T113751_20190501T103950,Greater London,6.498160461339487e-5,2019-04-24T11:37:51Z
20190425T111854_20190501T130746,Greater London,2.1019830764178553e-5,2019-04-25T11:18:54Z
20190426T105958_20190502T123929,Greater London,3.714539300465742e-5,2019-04-26T11:50:43Z
NA,NA,NA,2019-04-27T12:00:00Z
NA,NA,NA,2019-04-28T12:00:00Z
NA,NA,NA,2019-04-29T12:00:00Z
20190430T112541_20190506T131032,Greater London,1.2518556391824824e-4,2019-04-30T11:25:41Z
NA,NA,NA,2019-05-01T12:00:00Z
NA,NA,NA,2019-05-02T12:00:00Z
NA,NA,NA,2019-05-03T12:00:00Z
20190504T115123_20190510T140154,Greater London,4.394089262949093e-5,2019-05-04T11:51:23Z
NA,NA,NA,2019-05-05T12:00:00Z
NA,NA,NA,2019-05-06T12:00:00Z
NA,NA,NA,2019-05-07T12:00:00Z
20190508T121703_20190514T142654,Greater London,6.992729645139911e-5,2019-05-08T12:17:03Z
20190509T115806_20190515T135437,Greater London,5.4707419621990994e-5,2019-05-09T11:58:06Z
20190510T113908_20190516T135323,Greater London,1.4351760768380057e-4,2019-05-10T11:39:08Z
20190511T112010_20190517T134002,Greater London,4.742878046848287e-5,2019-05-11T12:10:55Z
