ImageID,NAME_2,mean,start_dt
20181121T111543_20181127T131621,Paris,2.1123987253350942e-4,2018-11-21T11:15:43Z
NA,NA,NA,2018-11-22T12:00:00Z
NA,NA,NA,2018-11-23T12:00:00Z
NA,NA,NA,2018-11-24T12:00:00Z
NA,NA,NA,2018-11-25T12:00:00Z
NA,NA,NA,2018-11-26T12:00:00Z
20181127T110240_20181203T125954,Paris,1.5516728392089713e-4,2018-11-27T11:02:40Z
NA,NA,NA,2018-11-28T12:00:00Z
NA,NA,NA,2018-11-29T12:00:00Z
20181130T114654_20181206T135246,Paris,6.877431832081148e-5,2018-11-30T11:46:54Z
NA,NA,NA,2018-12-01T12:00:00Z
NA,NA,NA,2018-12-02T12:00:00Z
NA,NA,NA,2018-12-03T12:00:00Z
20181204T121206_20181210T142124,Paris,1.9097660997116937e-4,2018-12-04T12:12:06Z
NA,NA,NA,2018-12-05T12:00:00Z
NA,NA,NA,2018-12-06T12:00:00Z
NA,NA,NA,2018-12-07T12:00:00Z
NA,NA,NA,2018-12-08T12:00:00Z
20181209T121816_20181217T112929,Paris,4.191826004325365e-5,2018-12-09T12:18:16Z
NA,NA,NA,2018-12-10T12:00:00Z
NA,NA,NA,2018-12-11T12:00:00Z
20181212T112106_20181218T141752,Paris,2.1025228999716812e-4,2018-12-12T11:21:06Z
20181213T110202_20181219T143309,Paris,1.380808074159197e-4,2018-12-13T11:02:02Z
20181214T104259_20181220T125122,Paris,1.5728293143635035e-4,2018-12-14T10:42:59Z
NA,NA,NA,2018-12-15T12:00:00Z
NA,NA,NA,2018-12-16T12:00:00Z
20181217T112721_20181223T133807,Paris,1.0169724693320105e-4,2018-12-17T11:27:21Z
NA,NA,NA,2018-12-18T12:00:00Z
NA,NA,NA,2018-12-19T12:00:00Z
20181220T103014_20181226T122105,Paris,4.4808613310488586e-5,2018-12-20T11:20:59Z
NA,NA,NA,2018-12-21T12:00:00Z
NA,NA,NA,2018-12-22T12:00:00Z
NA,NA,NA,2018-12-23T12:00:00Z
NA,NA,NA,2018-12-24T12:00:00Z
20181225T103635_20181231T124145,Paris,9.555821876267881e-5,2018-12-25T10:36:35Z
NA,NA,NA,2018-12-26T12:00:00Z
NA,NA,NA,2018-12-27T12:00:00Z
NA,NA,NA,2018-12-28T12:00:00Z
NA,NA,NA,2018-12-29T12:00:00Z
NA,NA,NA,2018-12-30T12:00:00Z
NA,NA,NA,2018-12-31T12:00:00Z
NA,NA,NA,2019-01-01T12:00:00Z
NA,NA,NA,2019-01-02T12:00:00Z
NA,NA,NA,2019-01-03T12:00:00Z
NA,NA,NA,2019-01-04T12:00:00Z
NA,NA,NA,2019-01-05T12:00:00Z
NA,NA,NA,2019-01-06T12:00:00Z
NA,NA,NA,2019-01-07T12:00:00Z
NA,NA,NA,2019-01-08T12:00:00Z
NA,NA,NA,2019-01-09T12:00:00Z
NA,NA,NA,2019-01-10T12:00:00Z
NA,NA,NA,2019-01-11T12:00:00Z
NA,NA,NA,2019-01-12T12:00:00Z
NA,NA,NA,2019-01-13T12:00:00Z
NA,NA,NA,2019-01-14T12:00:00Z
NA,NA,NA,2019-01-15T12:00:00Z
NA,NA,NA,2019-01-16T12:00:00Z
20190117T114708_20190123T140456,Paris,5.777541875236539e-5,2019-01-17T11:47:08Z
20190118T112810_20190124T135053,Paris,1.8222083479454407e-4,2019-01-18T11:28:10Z
NA,NA,NA,2019-01-19T12:00:00Z
NA,NA,NA,2019-01-20T12:00:00Z
20190121T103115_20190127T124120,Paris,2.5569516067321097e-4,2019-01-21T11:22:00Z
NA,NA,NA,2019-01-22T12:00:00Z
NA,NA,NA,2019-01-23T12:00:00Z
NA,NA,NA,2019-01-24T12:00:00Z
20190125T105654_20190131T130854,Paris,8.575933279294963e-5,2019-01-25T10:56:54Z
NA,NA,NA,2019-01-26T12:00:00Z
NA,NA,NA,2019-01-27T12:00:00Z
20190128T114131_20190203T135225,Paris,5.821046145506684e-5,2019-01-28T11:41:31Z
NA,NA,NA,2019-01-29T12:00:00Z
20190130T110337_20190205T131852,Paris,9.158067405223846e-5,2019-01-30T11:03:37Z
NA,NA,NA,2019-01-31T12:00:00Z
NA,NA,NA,2019-02-01T12:00:00Z
NA,NA,NA,2019-02-02T12:00:00Z
20190203T112919_20190209T133607,Paris,7.194258068921044e-5,2019-02-03T11:29:19Z
NA,NA,NA,2019-02-04T12:00:00Z
20190205T105126_20190211T125401,Paris,1.6093110740311443e-4,2019-02-05T10:51:26Z
NA,NA,NA,2019-02-06T12:00:00Z
20190207T101333_20190213T121951,Paris,5.020135238515854e-5,2019-02-07T11:04:18Z
NA,NA,NA,2019-02-08T12:00:00Z
NA,NA,NA,2019-02-09T12:00:00Z
NA,NA,NA,2019-02-10T12:00:00Z
NA,NA,NA,2019-02-11T12:00:00Z
NA,NA,NA,2019-02-12T12:00:00Z
20190213T114255_20190219T172953,Paris,1.489138379743394e-4,2019-02-13T11:42:55Z
20190214T112359_20190221T100309,Paris,1.1288759040482474e-4,2019-02-14T11:23:59Z
20190215T110503_20190221T125202,Paris,2.2329950971622338e-4,2019-02-15T11:55:48Z
20190216T104607_20190222T123931,Paris,2.0620870755348077e-4,2019-02-16T10:46:07Z
20190217T102711_20190223T121911,Paris,8.247602324936969e-5,2019-02-17T11:17:56Z
20190218T114946_20190224T140116,Paris,1.2552882820520388e-4,2019-02-18T11:49:46Z
20190219T113050_20190225T134620,Paris,1.6397343942468816e-4,2019-02-19T11:30:50Z
20190220T111154_20190226T132011,Paris,3.988037792141346e-4,2019-02-20T11:11:54Z
20190221T105259_20190227T124310,Paris,4.823805608453655e-4,2019-02-21T11:43:44Z
20190222T103403_20190228T122014,Paris,4.529984092232261e-4,2019-02-22T11:24:48Z
20190223T101508_20190301T122313,Paris,1.4405107083809122e-4,2019-02-23T11:05:53Z
20190224T113742_20190302T134732,Paris,2.1484709883519095e-4,2019-02-24T11:37:42Z
20190225T111847_20190303T130117,Paris,2.1319623831969153e-4,2019-02-25T11:18:47Z
NA,NA,NA,2019-02-26T12:00:00Z
NA,NA,NA,2019-02-27T12:00:00Z
NA,NA,NA,2019-02-28T12:00:00Z
NA,NA,NA,2019-03-01T12:00:00Z
NA,NA,NA,2019-03-02T12:00:00Z
NA,NA,NA,2019-03-03T12:00:00Z
NA,NA,NA,2019-03-04T12:00:00Z
NA,NA,NA,2019-03-05T12:00:00Z
NA,NA,NA,2019-03-06T12:00:00Z
20190307T113235_20190313T133414,Paris,2.6875548215273517e-5,2019-03-07T11:32:35Z
20190308T111340_20190314T131852,Paris,5.743551001563977e-5,2019-03-08T11:13:40Z
NA,NA,NA,2019-03-09T12:00:00Z
20190310T121720_20190316T141038,Paris,2.303861836287996e-5,2019-03-10T12:17:20Z
20190311T101655_20190317T121017,Paris,7.274698727257065e-5,2019-03-11T11:07:40Z
NA,NA,NA,2019-03-12T12:00:00Z
NA,NA,NA,2019-03-13T12:00:00Z
NA,NA,NA,2019-03-14T12:00:00Z
NA,NA,NA,2019-03-15T12:00:00Z
20190316T120520_20190322T135619,Paris,5.0342023314442486e-5,2019-03-16T12:05:20Z
20190317T114625_20190323T133508,Paris,1.7775819542903442e-5,2019-03-17T11:46:25Z
NA,NA,NA,2019-03-18T12:00:00Z
20190319T110835_20190325T125813,Paris,2.1206924275571858e-4,2019-03-19T11:08:35Z
NA,NA,NA,2019-03-20T12:00:00Z
20190321T103045_20190328T172702,Paris,2.0789436094993961e-4,2019-03-21T10:30:45Z
NA,NA,NA,2019-03-22T12:00:00Z
20190323T113426_20190329T133626,Paris,1.1312040442135185e-4,2019-03-23T11:34:26Z
NA,NA,NA,2019-03-24T12:00:00Z
20190325T105636_20190331T124047,Paris,9.073909735255213e-5,2019-03-25T11:47:21Z
20190326T121911_20190401T141554,Paris,1.3147755443200767e-4,2019-03-26T12:19:11Z
NA,NA,NA,2019-03-27T12:00:00Z
NA,NA,NA,2019-03-28T12:00:00Z
NA,NA,NA,2019-03-29T12:00:00Z
20190330T110331_20190405T130254,Paris,1.820652784100969e-4,2019-03-30T11:03:31Z
20190331T104435_20190406T123950,Paris,1.1889584970706699e-4,2019-03-31T10:44:35Z
20190401T120711_20190407T140415,Paris,1.4445200937373076e-4,2019-04-01T12:07:11Z
NA,NA,NA,2019-04-02T12:00:00Z
NA,NA,NA,2019-04-03T12:00:00Z
NA,NA,NA,2019-04-04T12:00:00Z
20190405T105130_20190411T141411,Paris,1.440219337461224e-4,2019-04-05T10:51:30Z
20190406T103234_20190412T123104,Paris,1.6739086863410655e-4,2019-04-06T11:23:19Z
NA,NA,NA,2019-04-07T12:00:00Z
NA,NA,NA,2019-04-08T12:00:00Z
NA,NA,NA,2019-04-09T12:00:00Z
NA,NA,NA,2019-04-10T12:00:00Z
NA,NA,NA,2019-04-11T12:00:00Z
NA,NA,NA,2019-04-12T12:00:00Z
20190413T114306_20190419T132339,Paris,9.774079808266833e-5,2019-04-13T11:43:06Z
NA,NA,NA,2019-04-14T12:00:00Z
NA,NA,NA,2019-04-15T12:00:00Z
NA,NA,NA,2019-04-16T12:00:00Z
20190417T102723_20190423T122257,Paris,1.7414246335192864e-4,2019-04-17T11:18:08Z
20190418T114957_20190424T133924,Paris,1.7845403828612764e-4,2019-04-18T11:49:57Z
20190419T113101_20190425T131555,Paris,1.9944716865836863e-4,2019-04-19T11:31:01Z
20190420T111205_20190426T130237,Paris,1.1614756841036188e-4,2019-04-20T12:02:50Z
20190421T105309_20190427T124742,Paris,1.9950159651724666e-4,2019-04-21T11:43:54Z
20190422T103413_20190428T123822,Paris,2.9440089693841606e-4,2019-04-22T10:34:13Z
NA,NA,NA,2019-04-23T12:00:00Z
NA,NA,NA,2019-04-24T12:00:00Z
NA,NA,NA,2019-04-25T12:00:00Z
NA,NA,NA,2019-04-26T12:00:00Z
20190427T122231_20190503T141828,Paris,1.7005734957748477e-5,2019-04-27T12:22:31Z
NA,NA,NA,2019-04-28T12:00:00Z
NA,NA,NA,2019-04-29T12:00:00Z
20190430T112541_20190506T131032,Paris,1.4265336418705344e-4,2019-04-30T11:25:41Z
20190501T110644_20190507T125531,Paris,2.5250990911653774e-4,2019-05-01T11:57:29Z
NA,NA,NA,2019-05-02T12:00:00Z
NA,NA,NA,2019-05-03T12:00:00Z
NA,NA,NA,2019-05-04T12:00:00Z
NA,NA,NA,2019-05-05T12:00:00Z
NA,NA,NA,2019-05-06T12:00:00Z
NA,NA,NA,2019-05-07T12:00:00Z
NA,NA,NA,2019-05-08T12:00:00Z
NA,NA,NA,2019-05-09T12:00:00Z
NA,NA,NA,2019-05-10T12:00:00Z
NA,NA,NA,2019-05-11T12:00:00Z
NA,NA,NA,2019-05-12T12:00:00Z
20190513T104214_20190519T125457,Paris,9.61927258919302e-5,2019-05-13T11:32:59Z
20190514T102316_20190520T154633,Paris,1.145635459537057e-4,2019-05-14T11:14:01Z
20190515T114548_20190522T133013,Paris,1.3194696604539597e-4,2019-05-15T11:45:48Z
20190516T112649_20190522T190242,Paris,8.27476932164182e-5,2019-05-16T11:26:49Z
NA,NA,NA,2019-05-17T12:00:00Z
NA,NA,NA,2019-05-18T12:00:00Z
NA,NA,NA,2019-05-19T12:00:00Z
NA,NA,NA,2019-05-20T12:00:00Z
NA,NA,NA,2019-05-21T12:00:00Z
NA,NA,NA,2019-05-22T12:00:00Z
20190523T105528_20190529T125140,Paris,2.7923648764476466e-4,2019-05-23T10:55:28Z
20190524T103628_20190530T124534,Paris,1.2426772360526363e-4,2019-05-24T11:27:13Z
NA,NA,NA,2019-05-25T12:00:00Z
NA,NA,NA,2019-05-26T12:00:00Z
NA,NA,NA,2019-05-27T12:00:00Z
20190528T110200_20190603T130437,Paris,5.062093943755361e-5,2019-05-28T11:02:00Z
NA,NA,NA,2019-05-29T12:00:00Z
NA,NA,NA,2019-05-30T12:00:00Z
NA,NA,NA,2019-05-31T12:00:00Z
20190601T112730_20190607T133946,Paris,8.176982851089177e-5,2019-06-01T11:27:30Z
20190602T110829_20190608T131350,Paris,4.657523773952043e-5,2019-06-02T11:59:14Z
NA,NA,NA,2019-06-03T12:00:00Z
NA,NA,NA,2019-06-04T12:00:00Z
NA,NA,NA,2019-06-05T12:00:00Z
20190606T113357_20190612T135226,Paris,6.892909908414228e-5,2019-06-06T11:33:57Z
NA,NA,NA,2019-06-07T12:00:00Z
20190608T105555_20190614T130017,Paris,2.3411172937822737e-5,2019-06-08T11:46:40Z
NA,NA,NA,2019-06-09T12:00:00Z
20190610T115922_20190616T140743,Paris,3.0460978450719267e-5,2019-06-10T11:59:22Z
NA,NA,NA,2019-06-11T12:00:00Z
20190612T112119_20190618T132952,Paris,4.655282453850181e-5,2019-06-12T11:21:19Z
NA,NA,NA,2019-06-13T12:00:00Z
20190614T122446_20190620T143104,Paris,1.1326810636091977e-4,2019-06-14T12:24:46Z
20190615T102414_20190621T123253,Paris,4.0512596795653824e-5,2019-06-15T10:24:14Z
20190616T114642_20190622T135931,Paris,2.6642668672138825e-5,2019-06-16T11:46:42Z
20190617T112740_20190623T133401,Paris,1.9080735268147555e-4,2019-06-17T11:27:40Z
20190618T110837_20190624T131351,Paris,6.055767880752683e-5,2019-06-18T11:08:37Z
NA,NA,NA,2019-06-19T12:00:00Z
NA,NA,NA,2019-06-20T12:00:00Z
20190621T115300_20190627T135848,Paris,3.6596473364625126e-5,2019-06-21T11:53:00Z
20190622T113357_20190628T134332,Paris,1.0830079226965185e-4,2019-06-22T11:33:57Z
20190623T125624_20190629T143517,Paris,9.793773232748336e-5,2019-06-23T12:56:24Z
20190624T105551_20190630T125737,Paris,1.1816891492344438e-4,2019-06-24T10:55:51Z
20190625T103648_20190701T122430,Paris,1.2072746529979357e-4,2019-06-25T11:27:33Z
20190626T115915_20190702T140107,Paris,9.549192913566359e-5,2019-06-26T11:59:15Z
20190627T114012_20190703T132402,Paris,1.1314278586157178e-4,2019-06-27T11:40:12Z
20190628T112108_20190704T132032,Paris,1.0930792248052349e-4,2019-06-28T11:21:08Z
20190629T110205_20190705T124631,Paris,9.618059966571252e-5,2019-06-29T11:52:49Z
20190630T104301_20190706T123042,Paris,4.2994380700954595e-5,2019-06-30T10:43:01Z
20190701T102357_20190707T120219,Paris,1.2442815065589715e-4,2019-07-01T11:14:42Z
20190702T114623_20190708T133415,Paris,1.1879912242574777e-4,2019-07-02T11:46:23Z
20190703T112719_20190709T131019,Paris,1.1244212416891864e-4,2019-07-03T11:27:19Z
20190704T110815_20190710T125316,Paris,1.283016553092643e-4,2019-07-04T11:59:00Z
20190705T104911_20190711T122936,Paris,1.9736085288935126e-4,2019-07-05T11:39:56Z
20190706T103007_20190712T121139,Paris,1.0980608762409687e-4,2019-07-06T11:20:52Z
20190707T115232_20190713T133909,Paris,3.61221500497777e-5,2019-07-07T11:52:32Z
20190708T113328_20190714T132455,Paris,1.2888953886584434e-4,2019-07-08T11:33:28Z
20190709T111423_20190715T131904,Paris,9.933382400161489e-5,2019-07-09T12:05:08Z
20190710T105519_20190716T125033,Paris,1.56113184424284e-4,2019-07-10T11:46:03Z
20190711T103614_20190717T122343,Paris,2.3327062854083832e-4,2019-07-11T10:36:14Z
NA,NA,NA,2019-07-12T12:00:00Z
NA,NA,NA,2019-07-13T12:00:00Z
NA,NA,NA,2019-07-14T12:00:00Z
NA,NA,NA,2019-07-15T12:00:00Z
20190716T122354_20190722T142411,Paris,1.6396716819144785e-4,2019-07-16T12:23:54Z
20190717T102320_20190723T120804,Paris,2.2892926536873822e-4,2019-07-17T11:14:04Z
20190718T114545_20190724T133233,Paris,1.1562703624682791e-4,2019-07-18T11:45:45Z
NA,NA,NA,2019-07-19T12:00:00Z
NA,NA,NA,2019-07-20T12:00:00Z
20190721T104831_20190727T124209,Paris,6.505225043965676e-5,2019-07-21T11:39:16Z
NA,NA,NA,2019-07-22T12:00:00Z
20190723T115151_20190729T133820,Paris,9.667558555671685e-5,2019-07-23T11:51:51Z
20190724T113246_20190730T131949,Paris,1.3420371968312427e-4,2019-07-24T11:32:46Z
20190725T111341_20190731T125348,Paris,9.250891544610311e-5,2019-07-25T12:04:26Z
20190726T123606_20190801T142828,Paris,5.894385914325353e-5,2019-07-26T12:36:06Z
NA,NA,NA,2019-07-27T12:00:00Z
NA,NA,NA,2019-07-28T12:00:00Z
20190729T113850_20190804T133031,Paris,9.341089316947012e-5,2019-07-29T11:38:50Z
20190730T111945_20190805T125911,Paris,3.369885855134981e-5,2019-07-30T11:19:45Z
NA,NA,NA,2019-07-31T12:00:00Z
NA,NA,NA,2019-08-01T12:00:00Z
20190802T102228_20190808T121958,Paris,1.3850818423396277e-4,2019-08-02T10:22:28Z
NA,NA,NA,2019-08-03T12:00:00Z
NA,NA,NA,2019-08-04T12:00:00Z
20190805T110640_20190811T125705,Paris,1.156656981789663e-4,2019-08-05T11:06:40Z
NA,NA,NA,2019-08-06T12:00:00Z
NA,NA,NA,2019-08-07T12:00:00Z
20190808T115051_20190814T142442,Paris,3.437038965267075e-5,2019-08-08T11:50:51Z
NA,NA,NA,2019-08-09T12:00:00Z
20190810T111239_20190816T133124,Paris,2.8503432986326516e-5,2019-08-10T11:12:39Z
NA,NA,NA,2019-08-11T12:00:00Z
NA,NA,NA,2019-08-12T12:00:00Z
NA,NA,NA,2019-08-13T12:00:00Z
NA,NA,NA,2019-08-14T12:00:00Z
NA,NA,NA,2019-08-15T12:00:00Z
20190816T124059_20190822T153341,Paris,5.388774320261431e-5,2019-08-16T12:40:59Z
NA,NA,NA,2019-08-17T12:00:00Z
NA,NA,NA,2019-08-18T12:00:00Z
20190819T114339_20190825T141610,Paris,7.418823224725202e-5,2019-08-19T11:43:39Z
20190820T112432_20190826T135426,Paris,4.709700442617759e-5,2019-08-20T11:24:32Z
20190821T110525_20190827T140355,Paris,1.3418513503486053e-4,2019-08-21T11:56:10Z
20190822T104618_20190828T132548,Paris,9.726459951943092e-5,2019-08-22T11:37:03Z
20190823T102711_20190829T125739,Paris,1.2144421389599235e-4,2019-08-23T11:17:56Z
20190824T114934_20190830T140111,Paris,1.0543445302121686e-4,2019-08-24T11:49:34Z
20190825T113026_20190831T135703,Paris,1.5651431990642276e-4,2019-08-25T11:30:26Z
20190826T111119_20190901T132842,Paris,1.4125964814494356e-4,2019-08-26T12:02:04Z
20190827T105212_20190902T132126,Paris,1.811326267350533e-4,2019-08-27T11:42:56Z
NA,NA,NA,2019-08-28T12:00:00Z
20190829T115527_20190904T143758,Paris,3.62757891707588e-5,2019-08-29T11:55:27Z
NA,NA,NA,2019-08-30T12:00:00Z
